pot_id,plant_id,species,variety_accession,source,substrate,pot_type_size,life_stage,orga_level,temperature,start_germination,date_1st_germination,start_seedlings,start_flowering,Date_death,biomass_harvest_date,Biomass_g,chamber,Position_quadrant,Remarks
BR001S22,BR001S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.3300000000000001,31024,2,NA
BR002S22,BR002S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.1200000000000001,31024,2,NA
BR003S22,BR003S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,0.80000000000000004,31024,5,NA
BR004S22,BR004S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.04,31024,1,NA
BR005S22,BR005S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.23,31024,6,NA
BR006S22,BR006S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,0.59999999999999998,31024,5,NA
BR007S22,BR007S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1399999999999999,31024,6,NA
BR008S22,BR008S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.3100000000000001,31024,2,NA
BR009S22,BR009S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.1100000000000001,31024,5,NA
BR010S22,BR010S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.45,31024,2,NA
BR011S22,BR011S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,0.5,31024,5,NA
BR012S22,BR012S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,0.91000000000000003,31024,5,NA
BR013S22,BR013S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.0900000000000001,31024,1,NA
BR014S22,BR014S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.77000000000000002,31024,6,NA
BR015S22,BR015S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.93999999999999995,31024,2,NA
BR016S22,BR016S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.1499999999999999,31024,6,NA
BR017S22,BR017S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.4399999999999999,31024,1,NA
BR018S22,BR018S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.0700000000000001,31024,1,NA
BR019S22,BR019S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.3400000000000001,31024,5,NA
BR020S22,BR020S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.02,31024,1,NA
BR021S22,BR021S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.1100000000000001,31024,1,NA
BR022S22,BR022S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.26,31024,6,NA
BR023S22,BR023S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.3600000000000001,31024,3,NA
BR024S22,BR024S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,23.04.2025,NA,20.05.2025,0.84999999999999998,31024,1,NA
BR025S22,BR025S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,23.04.2025,NA,20.05.2025,1.25,31024,6,NA
BR026S22,BR026S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.48,31024,5,NA
BR027S22,BR027S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1200000000000001,31024,6,NA
BR028S22,BR028S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1899999999999999,31024,1,NA
BR029S22,BR029S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,21.04.2025,NA,20.05.2025,1.26,31024,1,NA
BR030S22,BR030S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,22,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1399999999999999,31024,2,NA
BRP01S22,BRP011S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,2.04,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP012S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,3.2599999999999998,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP013S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,3.25,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP014S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,3.8199999999999998,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP015S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,3.29,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP016S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,1.53,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP017S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,4.4800000000000004,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP018S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,4.6500000000000004,31024,6,Flowering date is for the 1st individual flowering in the population
BRP01S22,BRP019S22,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,22,07.04.2025,09.04.2025,11.04.2025,24.04.2025,NA,23.05.2025,2.25,31024,6,Flowering date is for the 1st individual flowering in the population
BR001S26,BR001S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.73999999999999999,32026,4,NA
BR002S26,BR002S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.81999999999999995,32026,3,NA
BR003S26,BR003S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.41999999999999998,32026,3,NA
BR004S26,BR004S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,1.1799999999999999,32026,1,NA
BR005S26,BR005S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.85999999999999999,32026,3,NA
BR006S26,BR006S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.89000000000000001,32026,3,NA
BR007S26,BR007S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.69999999999999996,32026,3,NA
BR008S26,BR008S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.97999999999999998,32026,5,NA
BR009S26,BR009S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,1.05,32026,4,NA
BR010S26,BR010S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,1.3100000000000001,32026,4,NA
BR011S26,BR011S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,1.02,32026,4,NA
BR012S26,BR012S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,26,04.04.2025,05.04.2025,08.04.2025,20.04.2025,NA,20.05.2025,0.95999999999999996,32026,3,NA
