Path,Plant name,Volume,Dim_X,Dim_Y,Dim_Z,Cumul_Area,Font_Area_Ratio,Left_Area_Ratio,Top_Area_Ratio,Code_Error,Model issue,Cause
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR002_S38_20250613_1420.ply,0.00000,0.044,0.045,0.253,0.010,0.286,0.300,0.365,0,Bad green part,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR003_S30_20250613_1430.ply,0.00002,0.212,0.249,0.389,0.033,0.120,0.098,0.142,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR005_S38_20250613_1439.ply,0.00007,0.165,0.157,0.353,0.037,0.192,0.192,0.227,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR013_S26_20250613_1510.ply,0.00005,0.210,0.179,0.203,0.007,0.105,0.084,0.084,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR013_S38_20250613_1520.ply,0.00002,0.074,0.046,0.142,0.005,0.152,0.231,0.300,0,Bad alignment,Upside down (very small plant)
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR014_S26_20250613_1530.ply,0.00007,0.099,0.190,0.464,0.020,0.169,0.097,0.221,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR014_S30_20250613_1540.ply,0.00015,0.151,0.210,0.516,0.061,0.220,0.177,0.256,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL004_S34_20250616_1145.ply,0.000,0.352,0.455,1.109,0.292,0.211,0.165,0.366,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR015_S30_20250613_1553.ply,0.00005,0.108,0.114,0.535,0.030,0.181,0.161,0.271,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR016_S38_20250613_1603.ply,0.00002,0.071,0.047,0.031,0.001,0.129,0.194,0.183,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL006_S34_20250616_1219.ply,0.424,6.581,2.650,2.971,11.325,0.148,0.336,0.176,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL006_S38_20250616_1232.ply,0.003,0.696,0.856,1.280,0.661,0.176,0.157,0.254,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR017_S26_20250613_1614.ply,0.00009,0.173,0.233,0.714,0.062,0.187,0.131,0.257,0,,
